image_path,prompt,model_name,consistency,bias,image_quality,hallucination,overall_score,other_notes
/root/outputs_local/dreamshaper-8/Anatomy/0032-hi.png,3 भुजाओं वाले एक हिंदू देवता का स्केच।,models/gemini-2.5-flash,1,3,4,1,1,"Image shows three women, not a deity with 3 arms, and is a realistic image, not a sketch."
/root/outputs_local/dreamlike-photoreal-2.0/Counting/0012-hi.png,5 पैरों पर खड़ी एक उत्परिवर्ती (म्यूटेंट) बिल्ली की तस्वीर।,models/gemini-2.5-flash,1,1,5,5,1,"The image shows a waterfall, not a mutant cat with 5 legs. Complete mismatch with the prompt."
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Action/0186-en.png,"A basketball flattened on the ground, not bouncing.",models/gemini-2.5-flash,5,1,5,1,5,"The image perfectly depicts a flattened basketball on the ground, consistent with the prompt."
/root/outputs_local/dreamshaper-8/Impossible/0111-en.png,A campfire burning brightly underwater on the ocean floor.,models/gemini-2.5-flash,5,1,5,1,5,Image perfectly depicts a fantastical campfire burning brightly underwater on the ocean floor.
/root/outputs_local/dreamlike-photoreal-2.0/Action/0196-en.png,A candle with a black wick and no flame.,models/gemini-2.5-flash,1,1,4,5,1,"The prompt explicitly requested 'no flame', but the image clearly shows a lit candle with a flame."
/root/outputs_local/dreamlike-photoreal-2.0/Texture/0171-en.png,A car made entirely of transparent glass.,models/gemini-2.5-flash,2,1,4,1,2,"The car is mostly opaque teal, not entirely transparent glass. Only windows are transparent."
/root/outputs_local/dreamlike-photoreal-2.0/Spatial/0086-en.png,"A cat sitting next to a cardboard box, not inside it.",models/gemini-2.5-flash,1,3,5,5,1,"The cat is sitting inside the large cardboard box, directly contradicting the prompt's 'not inside it'."
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Impossible/0116-en.png,A city street where the rain is falling upwards towards the sky.,models/gemini-2.5-flash,5,1,4,1,5,"Successfully depicts rain falling upwards in a city street, matching the surreal prompt."
/root/outputs_local/dreamlike-photoreal-2.0/Spatial/0091-en.png,A clean white dinner plate that has no food on it.,models/gemini-2.5-flash,5,1,5,2,4,"Image includes a second plate, fork, and part of another dish not specified in the prompt."
/root/outputs_local/stable-diffusion-v1-5/Text/0066-en.png,A close up of a gold badge that says 'POLICE'.,models/gemini-2.5-flash,4,5,4,5,4,The word 'POLICE' is visible but some letters are slightly distorted or stylized.
/root/outputs_local/dreamshaper-8/Color/0156-en.png,A close-up of a blue strawberry.,models/gemini-2.5-flash,5,1,5,1,5,"Image perfectly matches the prompt for a close-up of a blue strawberry, despite the fruit's unnatural color."
/root/outputs_local/dreamshaper-8/Text/0071-en.png,A computer screen displaying a red box with the text 'ERROR'.,models/gemini-2.5-flash,2,1,4,4,2,Screen has red elements but no clear 'ERROR' text in a red box. Most text is illegible.
/root/outputs_local/stable-diffusion-v1-5/Geometry/0141-en.png,A cube floating in the air casting a shadow that is a circle.,models/gemini-2.5-flash,1,1,5,4,2,"The image shows a sphere, not a cube, although it is floating and casting a circular shadow as requested."
/root/outputs_local/stable-diffusion-v1-5/Impossible/0101-en.png,"A goldfish swimming inside a lightbulb filled with air, not water.",models/gemini-2.5-flash,5,1,5,1,5,The image perfectly captures the surreal concept of a goldfish swimming in an air-filled lightbulb.
/root/outputs_local/stable-diffusion-v1-5/Counting/0006-en.png,"A human hand waving, but it has only 4 fingers.",models/gemini-2.5-flash,1,1,4,1,1,"The hand has 5 fingers, not 4, and the pose is not clearly waving."
/root/outputs_local/dreamshaper-8/Geometry/0146-en.png,A landscape photo where the horizon line is vertical instead of horizontal.,models/gemini-2.5-flash,1,1,4,1,1,"The horizon line in the image is horizontal, directly contradicting the prompt's request for a vertical one."
/root/outputs_local/dreamlike-photoreal-2.0/Color/0151-en.png,A landscape with bright blue grass and a red sky.,models/gemini-2.5-flash,4,3,5,5,4,"Features a red sky and a distinct section of blue/teal grass, matching the prompt well."
/root/outputs_local/stable-diffusion-v1-5/Counting/0021-en.png,A macro shot of exactly 2 gold coins lying on black velvet.,models/gemini-2.5-flash,1,3,4,1,1,"The image clearly shows many gold coins, not 'exactly 2' as specified in the prompt."
/root/outputs_local/dreamlike-photoreal-2.0/Geometry/0136-en.png,"A man looking in a mirror, but the reflection shows the back of his head.",models/gemini-2.5-flash,5,1,5,1,5,The image perfectly depicts the impossible reflection described in the prompt.
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Text/0051-en.png,A neon sign on a brick wall that says 'HELLO'.,models/gemini-2.5-flash,2,1,4,4,2,"The neon sign is on a brick wall, but the text is distorted and does not clearly spell 'HELLO'."
/root/outputs_local/stable-diffusion-v1-5/Impossible/0121-en.png,A night sky with a moon that is shaped like a square.,models/gemini-2.5-flash,1,1,4,1,1,"The image shows a night sky with stars and a building, but there is no moon, and certainly not a square-shaped one."
/root/outputs_local/dreamlike-photoreal-2.0/Action/0176-en.png,A person running backwards on a track.,models/gemini-2.5-flash,1,3,4,5,1,"The person is running forwards on the track, not backwards as specified in the prompt."
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Counting/0011-en.png,A photo of a mutant cat standing on 5 legs.,models/gemini-2.5-flash,2,1,3,4,2,"The cat has 4 legs, not 5 as requested. It does look somewhat 'mutant' or distorted."
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Spatial/0076-en.png,A photo of an empty park bench with absolutely no dogs nearby.,models/gemini-2.5-flash,5,1,4,1,5,"The image perfectly matches the prompt, showing empty park benches with no dogs."
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Geometry/0126-en.png,A photograph of a perfectly triangular window on a building.,models/gemini-2.5-flash,3,3,4,5,3,"The window structure forms a triangular shape, but individual panes are not perfectly triangular as implied."
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Text/0061-en.png,A piece of paper with the word 'Education' written in cursive.,models/gemini-2.5-flash,1,5,4,1,1,"The word written on the paper is not 'Education' and is largely illegible, failing the core prompt request."
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Spatial/0096-en.png,A portrait of an old man wearing a hat but no glasses.,models/gemini-2.5-flash,5,5,5,5,5,"Image perfectly matches all aspects of the prompt: an old man, hat, no glasses, and portrait style."
/root/outputs_local/dreamlike-photoreal-2.0/Counting/0001-en.png,A realistic close-up photo of a human hand showing exactly 6 fingers.,models/gemini-2.5-flash,5,3,5,5,5,Image accurately depicts a human hand with exactly 6 distinct fingers as requested.
/root/outputs_local/dreamshaper-8/Anatomy/0026-en.png,"A realistic spider that is missing a leg, so it has only 7 legs.",models/gemini-2.5-flash,5,5,5,5,5,"Spider accurately depicted with 7 attached legs and one detached leg, matching the prompt perfectly."
/root/outputs_local/stable-diffusion-v1-5/Impossible/0106-en.png,A red car driving on fluffy white clouds in the sky.,models/gemini-2.5-flash,3,1,4,5,3,"The red car is in the sky with clouds, but it is floating, not driving on the clouds."
/root/outputs_local/dreamshaper-8/Texture/0166-en.png,A rock covered in soft fur.,models/gemini-2.5-flash,1,3,4,5,1,"The image shows rocks and grass, but completely fails to depict any fur, which is a key element of the prompt."
/root/outputs_local/stable-diffusion-v1-5/Counting/0016-en.png,A simple wooden table with exactly 3 red apples on it.,models/gemini-2.5-flash,5,1,4,1,5,"Image perfectly matches the prompt, showing exactly 3 red apples on a simple wooden table."
/root/outputs_local/dreamshaper-8/Anatomy/0031-en.png,A sketch of a Hindu deity with 3 arms.,models/gemini-2.5-flash,1,5,5,1,1,"The image clearly shows 4 arms, but the prompt specifically requested a deity with 3 arms."
/root/outputs_local/dreamlike-photoreal-2.0/Text/0056-en.png,A soccer player wearing a jersey with the number 7 on it.,models/gemini-2.5-flash,5,5,5,5,5,"Image perfectly matches the prompt, showing a soccer player with number 7 on the jersey."
/root/outputs_local/stable-diffusion-v1-5/Anatomy/0036-en.png,"A surreal painting of a business suit standing up, but with no head or face visible.",models/gemini-2.5-flash,5,1,5,1,5,"The image perfectly matches all aspects of the prompt, including the surreal and headless elements."
/root/outputs_local/stable-diffusion-v1-5/Spatial/0081-en.png,A table with a red apple on the left and a blue cup on the right.,models/gemini-2.5-flash,5,1,4,1,5,Image accurately depicts a red apple on the left and a blue cup on the right on a table.
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Anatomy/0041-en.png,A white horse with large eagle wings on its back.,models/gemini-2.5-flash,1,1,3,1,1,"The image shows a griffin-like creature, not a horse. It has a bird's head and body, not an equine one."
/root/outputs_local/dreamlike-photoreal-2.0/Action/0191-en.png,A wine glass shattering into pieces.,models/gemini-2.5-flash,1,3,5,5,1,"The image shows wine being poured into an intact glass, not a shattering glass as requested by the prompt."
/root/outputs_local/dreamlike-photoreal-2.0/Color/0161-en.png,A zebra with green and yellow stripes.,models/gemini-2.5-flash,4,1,4,1,4,"The zebra has dark and yellowish-green stripes, which aligns well with the prompt's request for green and yellow."
/root/outputs_local/dreamlike-photoreal-2.0/Action/0183-es.png,Agua saliendo de una botella pero congelándose en el aire al instante.,models/gemini-2.5-flash,5,3,5,5,5,Excellent depiction of water freezing mid-air as it's poured in a cold environment.
/root/outputs_local/dreamshaper-8/Geometry/0133-es.png,Escaleras estilo Escher que suben en un bucle infinito.,models/gemini-2.5-flash,1,1,4,1,1,"The stairs are grand but lack the impossible, looping nature characteristic of Escher's work."
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Geometry/0131-en.png,Escher-style stairs that go up in an infinite loop.,models/gemini-2.5-flash,4,1,5,1,4,"Good representation of a spiral staircase, evokes infinite loop, but lacks the impossible 'Escher-style' element."
/root/outputs_local/dreamshaper-8/Anatomy/0046-en.png,Portrait of a beautiful woman with bright green skin.,models/gemini-2.5-flash,5,3,5,5,5,"Excellent match for the prompt, depicting a beautiful woman with vibrant green skin and hair."
/root/outputs_local/dreamshaper-8/Anatomy/0048-es.png,Retrato de una hermosa mujer con la piel de color verde brillante.,models/gemini-2.5-flash,5,3,5,5,5,"The image perfectly matches the prompt, depicting a beautiful woman with bright green skin."
/root/outputs_local/stable-diffusion-v1-5/Anatomy/0033-es.png,Un boceto de una deidad hindú con 3 brazos.,models/gemini-2.5-flash,1,3,4,1,1,"The image shows horned horses/mules, not a sketch of a Hindu deity with 3 arms. Complete mismatch."
/root/outputs_local/dreamshaper-8/Anatomy/0043-es.png,Un caballo blanco con grandes alas de águila en la espalda.,models/gemini-2.5-flash,5,3,5,5,5,"The image perfectly depicts a white horse with large eagle-like wings, matching the prompt entirely."
/root/outputs_local/stable-diffusion-v1-5/Impossible/0123-es.png,Un cielo nocturno con una luna que tiene forma cuadrada.,models/gemini-2.5-flash,1,3,4,5,1,"The prompt requested a square moon, but the moon in the image is clearly round."
/root/outputs_local/dreamlike-photoreal-2.0/Texture/0173-es.png,Un coche hecho enteramente de vidrio transparente.,models/gemini-2.5-flash,1,3,4,3,1,"The car is covered in a translucent mesh-like material, not made entirely of transparent glass."
/root/outputs_local/dreamshaper-8/Impossible/0108-es.png,Un coche rojo conduciendo sobre nubes blancas y esponjosas en el cielo.,models/gemini-2.5-flash,4,1,5,4,4,"The car is floating among clouds, not literally driving on them. Some clouds are reddish, not just white."
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Geometry/0143-es.png,Un cubo flotando en el aire proyectando una sombra que es un círculo.,models/gemini-2.5-flash,1,3,4,1,1,"The image shows a person and red blocks, not a floating cube with a circular shadow as requested."
