prompt_id,layer,response_text,utility_score
0,10,". Answer the user's query in natural, colloquial Hinglish. You are a smart Hinglish AI. Think only in English, but respond in Hindi (Hinglish acceptable).

Yaar, meri nayi car mein engine se ajeeb awaaz aa rahi hai, aur dealer sunne ko taiyaar hi nahi hai! Main kya karoon, mujhe bahut tension ho rahi hai! नझराले, मेरे नए कार की अजीब धुंआ हो रही है, और ड्रग ही आपको सुनने में मदद नहीं कर रहा है! मैं बहुत चिंतित हूं!",0.0
0,12,". Answer the user's query in natural, colloquial Hinglish. You are a smart Hinglish AI. Think only in English, but respond in Hindi (Hinglish acceptable).

Yaar, meri nayi car mein engine se ajeeb awaaz aa rahi hai, aur dealer sunne ko taiyaar hi nahi hai! Main kya karoon, mujhe bahut tension ho rahi hai! यार, मेरी नया कार में अजीब धुंधली हो रही है इंजीनी, और ड्रग ने मुझे नई बातें नहीं सुनीं! मुझे बहुत चिंता हुई है!",0.0
0,13,". Answer the user's query in natural, colloquial Hinglish. You are a smart Hinglish AI. Think only in English, but respond in Hindi (Hinglish acceptable).

Yaar, meri nayi car mein engine se ajeeb awaaz aa rahi hai, aur dealer sunne ko taiyaar hi nahi hai! Main kya karoon, mujhe bahut tension ho rahi hai! आपका दोस्त, मेरा नया कार का असामान तार बह रहा है, और ड्रग खरोंचे को पक्ष नहीं लगा रहा है, मुझे बहुत चिंतित हो रहा है! क्या",0.0
0,14,". Answer the user's query in natural, colloquial Hinglish. You are a smart Hinglish AI. Think only in English, but respond in Hindi (Hinglish acceptable).

Yaar, meri nayi car mein engine se ajeeb awaaz aa rahi hai, aur dealer sunne ko taiyaar hi nahi hai! Main kya karoon, mujhe bahut tension ho rahi hai! यार, मेरा नया कार में अजीब धुंआ हो रहा है, और ड्रग नहीं मिस कर रहे हैं! मुझे बहुत तनाव हो रहा है! यह समझने की कोशिश कर रह",0.0
0,16,". Answer the user's query in natural, colloquial Hinglish. You are a smart Hinglish AI. Think only in English, but respond in Hindi (Hinglish acceptable).

Yaar, meri nayi car mein engine se ajeeb awaaz aa rahi hai, aur dealer sunne ko taiyaar hi nahi hai! Main kya karoon, mujhe bahut tension ho rahi hai! यार, मुझे नया कार में अजीब धुंधली हो रही है इंजीनियर, और वो ड्रग नहीं बहुत खुश हैं! मुझे बहुत चिंता हुआ है, यह बहुत परे",0.0
0,18,". Answer the user's query in natural, colloquial Hinglish. You are a smart Hinglish AI. Think only in English, but respond in Hindi (Hinglish acceptable).

Yaar, meri nayi car mein engine se ajeeb awaaz aa rahi hai, aur dealer sunne ko taiyaar hi nahi hai! Main kya karoon, mujhe bahut tension ho rahi hai! हमारे नया कार की अजीब बैंक हो रही है, और ड्रग को तुम्हें चालाह नहीं रहनी चाहिए! बस तनाव बढ़ रहा है कर! तुम जानते हो, मु��",0.0
0,20,". Answer the user's query in natural, colloquial Hinglish. You are a smart Hinglish AI. Think only in English, but respond in Hindi (Hinglish acceptable).

Yaar, meri nayi car mein engine se ajeeb awaaz aa rahi hai, aur dealer sunne ko taiyaar hi nahi hai! Main kya karoon, mujhe bahut tension ho rahi hai! आप द्वारा बताए गए वायरल को हैंग्लिश भाषा में अनुवाद करने के लिए, यहाँ यह है:

हाय यार, नया पहिया में अजीब घंटा हो रहा",0.0
0,24,". Answer the user's query in natural, colloquial Hinglish. You are a smart Hinglish AI. Think only in English, but respond in Hindi (Hinglish acceptable).

Yaar, meri nayi car mein engine se ajeeb awaaz aa rahi hai, aur dealer sunne ko taiyaar hi nahi hai! Main kya karoon, mujhe bahut tension ho rahi hai! हो अब तो, आपकी नया पूरा कार में बेफोटो ब्रेकिंग हो रही है, और वो ड्रग लाफ्टर नहीं हैं तुम्हारे लिए किसी तरकीब देने की क",0.0
0,28,". Answer the user's query in natural, colloquial Hinglish. You are a smart Hinglish AI. Think only in English, but respond in Hindi (Hinglish acceptable).

Yaar, meri nayi car mein engine se ajeeb awaaz aa rahi hai, aur dealer sunne ko taiyaar hi nahi hai! Main kya karoon, mujhe bahut tension ho rahi hai! यार, मेरे नए कार की असंगत धुन बह रही है, और dealer आपसे मत मिलाने को तैयार नहीं है! मुझे बहुत तनाव महसूस हो रहा है!",0.0
1,10,". Answer the user's query in natural, colloquial Hinglish. You are a smart Hinglish AI. Think only in English, but respond in Hindi (Hinglish acceptable).

Bhai, meri new car mein engine se ajeeb awaaz aa rahi hai, aur dealer sunne ko taiyaar nahi hai! Main kya karoon? Isko kaise handle karoon? हे बॉबी, तुमने नया पर्जन का पंख ज्यादा अलग-अलग जैसे धारा बना है, और वे ड्राईलर सोने को खेलते नहीं हैं! तुमने इसको कैसे",0.0
