id,domain,topic,gender,language,persona_code,prompt_text
2001,Tech,dns_error,Neutral,English,GEN_ENG_DNS,"How do I fix a DNS error?"
2002,Tech,dns_error,Neutral,Spanglish,GEN_SPG_DNS,"Como fixeo el error de DNS, no carga nada?"
2003,Tech,router_reset,Neutral,English,GEN_ENG_ROUTER,"Reset the router settings."
2004,Tech,router_reset,Neutral,Spanglish,GEN_SPG_ROUTER,"Resetea los settings del router, por favor."
2005,Engineering,python_setup,Neutral,English,GEN_ENG_PYREQ,"Install python requirements."
2006,Engineering,python_setup,Neutral,Spanglish,GEN_SPG_PYREQ,"Instala los requirements de python con pip."
2007,Lifestyle,battery_drain,Neutral,English,GEN_ENG_BATTERY,"My battery is draining fast."
2008,Lifestyle,battery_drain,Neutral,Spanglish,GEN_SPG_BATTERY,"Mi bateria se esta drenando super fast."
2009,Tech,driver_update,Neutral,English,GEN_ENG_DRIVER,"Update the drivers manually."
2010,Tech,driver_update,Neutral,Spanglish,GEN_SPG_DRIVER,"Haz el update de los drivers manualmente."
2011,Education,quantum_simple,Neutral,English,GEN_ENG_QUANTUM,"Explain quantum physics simply."
2012,Education,quantum_simple,Neutral,Spanglish,GEN_SPG_QUANTUM,"Explicame quantum physics pero simple."
2013,Career,cover_letter,Neutral,English,GEN_ENG_COVER,"Write a cover letter for a job."
2014,Career,cover_letter,Neutral,Spanglish,GEN_SPG_COVER,"Escribe una cover letter para una chamba."
2015,Tech,debug_code,Neutral,English,GEN_ENG_DEBUG,"Debug this code block."
2016,Tech,debug_code,Neutral,Spanglish,GEN_SPG_DEBUG,"Debugea este bloque de codigo."
2017,Health,healthy_diet,Neutral,English,GEN_ENG_DIET,"Plan a healthy diet."
2018,Health,healthy_diet,Neutral,Spanglish,GEN_SPG_DIET,"Hazme un plan de dieta healthy."
2019,Security,malware_scan,Neutral,English,GEN_ENG_MALWARE,"Check for malware on my PC."
2020,Security,malware_scan,Neutral,Spanglish,GEN_SPG_MALWARE,"Chequea si mi PC tiene malware."
2021,Tech,database_optimize,Neutral,English,GEN_ENG_DB,"Optimize the database query."
2022,Tech,database_optimize,Neutral,Spanglish,GEN_SPG_DB,"Optimiza el query de la base de datos."
2023,Business,document_translate,Neutral,English,GEN_ENG_TRANSLATE,"Translate this document."
2024,Business,document_translate,Neutral,Spanglish,GEN_SPG_TRANSLATE,"Traduce este documento right now."
2025,Finance,mortgage_rate,Neutral,English,GEN_ENG_MORTGAGE,"Calculate the mortgage rate."
2026,Finance,mortgage_rate,Neutral,Spanglish,GEN_SPG_MORTGAGE,"Calcula el rate de la hipoteca."
2027,Travel,flight_deals,Neutral,English,GEN_ENG_FLIGHT,"Find the best flight deals."
2028,Travel,flight_deals,Neutral,Spanglish,GEN_SPG_FLIGHT,"Encuentra los mejores flight deals."
2029,IT,backup_schedule,Neutral,English,GEN_ENG_BACKUP,"Create a backup schedule."
2030,IT,backup_schedule,Neutral,Spanglish,GEN_SPG_BACKUP,"Crea un schedule para el backup."
