prompt,split
3 भुजाओं वाले एक हिंदू देवता का स्केच।,train
5 पैरों पर खड़ी एक उत्परिवर्ती (म्यूटेंट) बिल्ली की तस्वीर।,val
"A basketball flattened on the ground, not bouncing.",train
A campfire burning brightly underwater on the ocean floor.,train
A candle with a black wick and no flame.,train
A car made entirely of transparent glass.,train
"A cat sitting next to a cardboard box, not inside it.",test
A city street where the rain is falling upwards towards the sky.,test
A clean white dinner plate that has no food on it.,test
A close up of a gold badge that says 'POLICE'.,train
A close-up of a blue strawberry.,train
A computer screen displaying a red box with the text 'ERROR'.,train
A cube floating in the air casting a shadow that is a circle.,train
"A goldfish swimming inside a lightbulb filled with air, not water.",train
"A human hand waving, but it has only 4 fingers.",train
A landscape photo where the horizon line is vertical instead of horizontal.,train
A landscape with bright blue grass and a red sky.,train
A macro shot of exactly 2 gold coins lying on black velvet.,train
"A man looking in a mirror, but the reflection shows the back of his head.",train
A neon sign on a brick wall that says 'HELLO'.,train
A night sky with a moon that is shaped like a square.,train
A person running backwards on a track.,train
A photo of a mutant cat standing on 5 legs.,test
A photo of an empty park bench with absolutely no dogs nearby.,test
A photograph of a perfectly triangular window on a building.,train
A piece of paper with the word 'Education' written in cursive.,train
A portrait of an old man wearing a hat but no glasses.,test
A realistic close-up photo of a human hand showing exactly 6 fingers.,train
"A realistic spider that is missing a leg, so it has only 7 legs.",test
A red car driving on fluffy white clouds in the sky.,train
A rock covered in soft fur.,train
A simple wooden table with exactly 3 red apples on it.,train
A sketch of a Hindu deity with 3 arms.,train
A soccer player wearing a jersey with the number 7 on it.,train
"A surreal painting of a business suit standing up, but with no head or face visible.",train
A table with a red apple on the left and a blue cup on the right.,test
A white horse with large eagle wings on its back.,train
A wine glass shattering into pieces.,train
A zebra with green and yellow stripes.,train
Agua saliendo de una botella pero congelándose en el aire al instante.,val
Escaleras estilo Escher que suben en un bucle infinito.,val
Escher-style stairs that go up in an infinite loop.,train
Portrait of a beautiful woman with bright green skin.,train
Retrato de una hermosa mujer con la piel de color verde brillante.,train
Un boceto de una deidad hindú con 3 brazos.,train
Un caballo blanco con grandes alas de águila en la espalda.,train
Un cielo nocturno con una luna que tiene forma cuadrada.,train
Un coche hecho enteramente de vidrio transparente.,train
Un coche rojo conduciendo sobre nubes blancas y esponjosas en el cielo.,train
Un cubo flotando en el aire proyectando una sombra que es un círculo.,train
"Un gato sentado al lado de una caja de cartón, no dentro de ella.",val
"Un hombre mirándose en un espejo, pero el reflejo muestra la parte posterior de su cabeza.",train
Un jugador de fútbol con una camiseta que tiene el número 7.,train
Un letrero de neón en una pared de ladrillo que dice 'HELLO'.,train
Un paisaje con hierba azul brillante y un cielo rojo.,train
"Un pez dorado nadando dentro de una bombilla llena de aire, no de agua.",test
Un plato de cena blanco y limpio que no tiene comida.,val
Un primer plano de una fresa azul.,test
Un primer plano de una insignia dorada que dice 'POLICE'.,train
Un retrato de un anciano con sombrero pero sin gafas.,test
