id,language,domain,prompt,model,image_path,status
1,en,Counting,A realistic close-up photo of a human hand showing exactly 6 fingers.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0001-en.png,ok
2,hi,Counting,एक इंसानी हाथ की यथार्थवादी क्लोज़-अप फोटो जिसमें ठीक 6 उंगलियां दिखाई दे रही हों।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0002-hi.png,ok
3,es,Counting,Una foto realista de primer plano de una mano humana que muestra exactamente 6 dedos.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0003-es.png,ok
4,ar,Counting,صورة مقربة واقعية ليد بشرية تظهر 6 أصابع بالضبط.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0004-ar.png,ok
5,as,Counting,এখন মানুহৰ হাতৰ বাস্তৱধৰ্মী ফটো য'ত ঠিক ৬টা আঙুলি দেখা গৈছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0005-as.png,ok
6,en,Counting,"A human hand waving, but it has only 4 fingers.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0006-en.png,ok
7,hi,Counting,"एक इंसानी हाथ लहरा रहा है, लेकिन उसमें केवल 4 उंगलियां हैं।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0007-hi.png,ok
8,es,Counting,"Una mano humana saludando, pero tiene solo 4 dedos.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0008-es.png,ok
9,ar,Counting,يد بشرية تلوح، لكن لها 4 أصابع فقط.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0009-ar.png,ok
10,as,Counting,"এখন মানুহৰ হাতে লৰাই আছে, কিন্তু তাত মাত্ৰ ৪টা আঙুলিহে আছে।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0010-as.png,ok
11,en,Counting,A photo of a mutant cat standing on 5 legs.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0011-en.png,ok
12,hi,Counting,5 पैरों पर खड़ी एक उत्परिवर्ती (म्यूटेंट) बिल्ली की तस्वीर।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0012-hi.png,ok
13,es,Counting,Una foto de un gato mutante de pie sobre 5 patas.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0013-es.png,ok
14,ar,Counting,صورة لقطة متحولة تقف على 5 أرجل.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0014-ar.png,ok
15,as,Counting,এখন মিউটেণ্ট মেকুৰীৰ ফটো যিটো ৫খন ভৰিত থিয় হৈ আছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0015-as.png,ok
16,en,Counting,A simple wooden table with exactly 3 red apples on it.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0016-en.png,ok
17,hi,Counting,एक साधारण लकड़ी की मेज जिस पर ठीक 3 लाल सेब रखे हैं।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0017-hi.png,ok
18,es,Counting,Una mesa de madera sencilla con exactamente 3 manzanas rojas encima.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0018-es.png,ok
19,ar,Counting,طاولة خشبية بسيطة عليها 3 تفاحات حمراء بالضبط.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0019-ar.png,ok
