id,domain,language,prompt,verification_question,expected_answer_short
1,Counting,en,A realistic close-up photo of a human hand showing exactly 6 fingers.,How many fingers are visible?,6
2,Counting,hi,एक इंसानी हाथ की यथार्थवादी क्लोज़-अप फोटो जिसमें ठीक 6 उंगलियां दिखाई दे रही हों।,How many fingers are visible?,6
3,Counting,es,Una foto realista de primer plano de una mano humana que muestra exactamente 6 dedos.,How many fingers are visible?,6
4,Counting,ar,صورة مقربة واقعية ليد بشرية تظهر 6 أصابع بالضبط.,How many fingers are visible?,6
5,Counting,as,এখন মানুহৰ হাতৰ বাস্তৱধৰ্মী ফটো য'ত ঠিক ৬টা আঙুলি দেখা গৈছে।,How many fingers are visible?,6
6,Counting,en,"A human hand waving, but it has only 4 fingers.",How many fingers are visible?,4
7,Counting,hi,"एक इंसानी हाथ लहरा रहा है, लेकिन उसमें केवल 4 उंगलियां हैं।",How many fingers are visible?,4
8,Counting,es,"Una mano humana saludando, pero tiene solo 4 dedos.",How many fingers are visible?,4
9,Counting,ar,يد بشرية تلوح، لكن لها 4 أصابع فقط.,How many fingers are visible?,4
10,Counting,as,"এখন মানুহৰ হাতে লৰাই আছে, কিন্তু তাত মাত্ৰ ৪টা আঙুলিহে আছে।",How many fingers are visible?,4
11,Counting,en,A photo of a mutant cat standing on 5 legs.,How many legs does the cat have?,5
12,Counting,hi,5 पैरों पर खड़ी एक उत्परिवर्ती (म्यूटेंट) बिल्ली की तस्वीर।,How many legs does the cat have?,5
13,Counting,es,Una foto de un gato mutante de pie sobre 5 patas.,How many legs does the cat have?,5
14,Counting,ar,صورة لقطة متحولة تقف على 5 أرجل.,How many legs does the cat have?,5
15,Counting,as,এখন মিউটেণ্ট মেকুৰীৰ ফটো যিটো ৫খন ভৰিত থিয় হৈ আছে।,How many legs does the cat have?,5
16,Counting,en,A simple wooden table with exactly 3 red apples on it.,Count the apples.,3
17,Counting,hi,एक साधारण लकड़ी की मेज जिस पर ठीक 3 लाल सेब रखे हैं।,Count the apples.,3
18,Counting,es,Una mesa de madera sencilla con exactamente 3 manzanas rojas encima.,Count the apples.,3
19,Counting,ar,طاولة خشبية بسيطة عليها 3 تفاحات حمراء بالضبط.,Count the apples.,3
20,Counting,as,এখন সাধাৰণ কাঠৰ টেবুল যাৰ ওপৰত ঠিক ৩টা ৰঙা আপেল আছে।,Count the apples.,3
21,Counting,en,A macro shot of exactly 2 gold coins lying on black velvet.,Count the coins.,2
22,Counting,hi,काले मखमल पर पड़े ठीक 2 सोने के सिक्कों का मैक्रो शॉट।,Count the coins.,2
23,Counting,es,Una toma macro de exactamente 2 monedas de oro sobre terciopelo negro.,Count the coins.,2
24,Counting,ar,لقطة ماكرو لعملتين ذهبيتين بالضبط ملقاة على مخمل أسود.,Count the coins.,2
25,Counting,as,কলা ভেলভেটৰ ওপৰত থকা ঠিক ২টা সোণৰ মুদ্ৰাৰ মেক্ৰ’ শ্বট।,Count the coins.,2
26,Anatomy,en,"A realistic spider that is missing a leg, so it has only 7 legs.",How many legs does the spider have?,7
27,Anatomy,hi,"एक यथार्थवादी मकड़ी जिसका एक पैर गायब है, इसलिए उसके केवल 7 पैर हैं।",How many legs does the spider have?,7
28,Anatomy,es,"Una araña realista a la que le falta una pata, por lo que solo tiene 7 patas.",How many legs does the spider have?,7
29,Anatomy,ar,عنكبوت واقعي يفتقد ساقاً، لذا لديه 7 أرجل فقط.,How many legs does the spider have?,7
30,Anatomy,as,"এজনী বাস্তৱধৰ্মী মকৰা যাৰ এখন ভৰি নাই, গতিকে তাৰ মাত্ৰ ৭খন ভৰিহে আছে।",How many legs does the spider have?,7
31,Anatomy,en,A sketch of a Hindu deity with 3 arms.,How many arms does the person have?,3
32,Anatomy,hi,3 भुजाओं वाले एक हिंदू देवता का स्केच।,How many arms does the person have?,3
33,Anatomy,es,Un boceto de una deidad hindú con 3 brazos.,How many arms does the person have?,3
34,Anatomy,ar,رسم لإله هندوسي بـ 3 أذرع.,How many arms does the person have?,3
35,Anatomy,as,৩খন হাত থকা এজন হিন্দু দেৱতাৰ স্কেচ।,How many arms does the person have?,3
36,Anatomy,en,"A surreal painting of a business suit standing up, but with no head or face visible.",Does the person have a face?,No
37,Anatomy,hi,"एक बिज़नेस सूट की असली पेंटिंग जो खड़ी है, लेकिन कोई सिर या चेहरा दिखाई नहीं दे रहा है।",Does the person have a face?,No
38,Anatomy,es,"Una pintura surrealista de un traje de negocios de pie, pero sin cabeza ni rostro visible.",Does the person have a face?,No
39,Anatomy,ar,لوحة سريالية لبدلة عمل تقف، ولكن دون رأس أو وجه مرئي.,Does the person have a face?,No
40,Anatomy,as,"থিয় হৈ থকা এটা ব্যৱসায়িক চুটৰ অতিবাস্তৱ ছবি, কিন্তু কোনো মূৰ বা মুখ দেখা যোৱা নাই।",Does the person have a face?,No
41,Anatomy,en,A white horse with large eagle wings on its back.,Does the horse have wings?,Yes
42,Anatomy,hi,एक सफेद घोड़ा जिसकी पीठ पर बड़े ईगल के पंख हैं।,Does the horse have wings?,Yes
43,Anatomy,es,Un caballo blanco con grandes alas de águila en la espalda.,Does the horse have wings?,Yes
44,Anatomy,ar,حصان أبيض له أجنحة نسر كبيرة على ظهره.,Does the horse have wings?,Yes
45,Anatomy,as,এটা বগা ঘোঁৰা যাৰ পিঠিত ঈগলৰ ডাঙৰ পাহি আছে।,Does the horse have wings?,Yes
46,Anatomy,en,Portrait of a beautiful woman with bright green skin.,What is the skin color?,Green
47,Anatomy,hi,चमकदार हरी त्वचा वाली एक खूबसूरत महिला का चित्र।,What is the skin color?,Green
48,Anatomy,es,Retrato de una hermosa mujer con la piel de color verde brillante.,What is the skin color?,Green
49,Anatomy,ar,صورة لامرأة جميلة ذات بشرة خضراء زاهية.,What is the skin color?,Green
50,Anatomy,as,উজ্জ্বল সেউজীয়া ছালৰ এগৰাকী সুন্দৰী মহিলাৰ প্ৰতিকৃতি।,What is the skin color?,Green
51,Text,en,A neon sign on a brick wall that says 'HELLO'.,What is the text on the sign?,HELLO
52,Text,hi,ईंट की दीवार पर एक नियॉन साइन जिस पर 'HELLO' लिखा है।,What is the text on the sign?,HELLO
53,Text,es,Un letrero de neón en una pared de ladrillo que dice 'HELLO'.,What is the text on the sign?,HELLO
54,Text,ar,لافتة نيون على جدار من الطوب تقول 'HELLO'.,What is the text on the sign?,HELLO
55,Text,as,ইটাৰ দেৱালত এটা নিয়ন চাইন য'ত 'HELLO' বুলি লিখা আছে।,What is the text on the sign?,HELLO
56,Text,en,A soccer player wearing a jersey with the number 7 on it.,What number is on the shirt?,7
57,Text,hi,एक सॉकर खिलाड़ी जिसने जर्सी पहनी है जिस पर नंबर 7 लिखा है।,What number is on the shirt?,7
58,Text,es,Un jugador de fútbol con una camiseta que tiene el número 7.,What number is on the shirt?,7
59,Text,ar,لاعب كرة قدم يرتدي قميصاً عليه الرقم 7.,What number is on the shirt?,7
60,Text,as,এজন ফুটবলাৰ যিয়ে ৭ নম্বৰ লিখা জাৰ্চি পিন্ধি আছে।,What number is on the shirt?,7
61,Text,en,A piece of paper with the word 'Education' written in cursive.,Is the word spelled correctly?,Yes
62,Text,hi,कागज का एक टुकड़ा जिस पर कर्सिव में 'Education' शब्द लिखा है।,Is the word spelled correctly?,Yes
63,Text,es,Un trozo de papel con la palabra 'Education' escrita en cursiva.,Is the word spelled correctly?,Yes
64,Text,ar,قطعة من الورق كتب عليها كلمة 'Education' بخط متصل.,Is the word spelled correctly?,Yes
65,Text,as,এখন কাগজৰ টুকুৰা য'ত 'Education' শব্দটো পেঁচাই লিখা আছে।,Is the word spelled correctly?,Yes
